"","x"
"1","ScienceAlert"
"2","Work hard and Keep Your Head Up"
"3","Buddhism - Peace Love Life"
"4","Peaceful Mind Peaceful Life"
"5","Love Canada"
"6","Dwayne The Rock Johnson"
"7","Maroon 5"
"8","Justin Trudeau"
"9","Beyoncé"
"10","Humans of New York"
"11","Delhi Food Walks"
"12","Research"
"13","Family Board Games"
"14","Fencing.Net"
"15","Cloud Watching"
"16","Horse riding is my passion"
"17","For Reading Addicts"
"18","Starbucks Peppermint Mocha"
"19","Starbucks Frappuccino"
"20","Starbucks"
"21","Coffee"
"22","Inclusion BC"
"23","Women Empowerment"
"24","WOMEN EMPOWERING WOMEN"
"25","Canadian Cancer Society"
"26","Gates Foundation"
"27","Grey's Anatomy"
"28","Selena Gomez"
"29","Michelle Obama"
"30","NASA - National Aeronautics and Space Administration"
"31","Barack Obama"
"32","Rihanna"
"33","National Geographic"
"34","Bezos Family Foundation"
"35","Bill Gates"
"36","Women In Games International (WIGI)"
"37","Wizards of the Coast"
